# Spells that send whoever they are cast on to a fixed place.
# spell_id,name,cell,x,y,z
# Cells are hex; the x/y/z are local to the cell's landblock.
# Regenerate with reference/scripts/data/recalls.sh (reads the ACE
# world database, the community's reconstruction of retail's server
# data; the client's own SpellTable says the spell exists but not
# where it goes).
1634,Portal Sending,CE410007,12.6,152.8,55.1
2000,Portal Sending,2DF0375,2.16,-63.34,-5.9
2001,Portal Sending,2DA0334,218.454,-388.76,0
2002,Portal Sending,2D70247,30,-30,-42
2020,Recall Asmolum 1,F3170036,147,142,152
2023,Recall the Sanctuary,F4180104,36.9,48.7,169.8
2024,Recall Asmolum 2,F3170032,156,37,150.5
2025,RecallAsmolum 3,F3170004,22,74,76.5
2041,Aerlinthe Recall,BAE8001D,84,105,26
2046,Portal to Teth,25810034,153.3,80.9,770
2358,Lyceum Recall,BC110014,49,73,240
2359,Portal Sending,1F402D2,170,-180,0
2360,Portal Sending,11202D2,170,-180,0
2361,Portal Sending,2A602D2,170,-180,0
2362,Portal Sending,2A702D2,170,-180,0
2363,Portal Sending,2A802D2,170,-180,0
2364,Egress,1579003F,180,156,300
2365,something you're gonna fear for a long time,2E43000C,33,80,7.5
2367,Groovy Portal Sending,13A02AE,140,-40,12
2368,a powerful force,8B680003,11.9,58,10
2369,Expulsion,1F50229,50,-180,0
2401,Into the Garden,299010D,70,-10,0
2422,Send to Dryreach,DB75003B,186,65,36
2476,Safe Harbor,1DB60025,98.5,98.1,120
2477,Free Trip to the Aluvian Casino,A9B2001D,84,102,94
2478,Cragstone Reinforcements camp recall,2750158,90,-610,0
2479,Advance Camp Recall,27B0200,50,-30,6
2480,Free Trip to the Gharun'dim Casino,7E64001D,85,108,12
2481,Zaikhal Reinforcement Camp Recall,2740158,90,-610,0
2482,Zaikhal Advance Camp Recall,27A0200,50,-30,0
2483,Free Trip to the Sho Casino,DB54001E,85,132,20
2484,Hebian-to Reinforcements Camp Portal,2730158,90,-610,0
2485,Hebian-to Advance Camp Recall,2790200,50,-30,6
