# Landmarks of Dereth: the fixed things a player navigates to.
# kind,name,cell,x,y,z   (kind: lifestone, vendor, npc)
# Cells are hex; the x/y/z are local to the cell's landblock.
# Regenerate with reference/scripts/data/landmarks.sh (reads the ACE
# world database, the community's reconstruction of retail's server
# data; the client has no copy of its own).
lifestone,Life Stone,1035003E,186.5,130,72
lifestone,Life Stone,1110109,6.3,-20.9,0
lifestone,Life Stone,17480000,132,179.9,16.4
lifestone,Life Stone,17B20000,101.4,53.3,44
lifestone,Life Stone,18A0261,130,-80,0
lifestone,Life Stone,191013A,20,-20,-60
lifestone,Life Stone,1A2020B,40,-50,-42
lifestone,Life Stone,1A80151,30,-80,0
lifestone,Life Stone,1A8015E,40,-50,0
lifestone,Life Stone,1AC011F,40,-20,0
lifestone,Life Stone,1CA0106,30,-60,-78
lifestone,Life Stone,1CA0116,50,-90,-78
lifestone,Life Stone,1CA011E,70,-50,-78
lifestone,Life Stone,1E090007,2,158.2,48
lifestone,Life Stone,1EB20000,131.6,131.9,2
lifestone,Life Stone,1FC90000,59.9,83.9,0
lifestone,Life Stone,219A0000,84.8,84.3,30
lifestone,Life Stone,21B00000,50.6,116.9,0
lifestone,Life Stone,231C0000,139.2,150.8,44
lifestone,Life Stone,23DA002C,136,81.5,2
lifestone,Life Stone,263E0000,129.2,148.6,32.9
lifestone,Life Stone,26EC003D,183,108.8,80
lifestone,Life Stone,27800000,18.8,137.7,144
lifestone,Life Stone,281A0000,9.9,66,14.5
lifestone,Life Stone,2B100000,69.3,69.2,74
lifestone,Life Stone,2B120000,109.4,9.5,48
lifestone,Life Stone,2BB50000,155.7,9.4,99
lifestone,Life Stone,2D3010A,21.6,-41,0
lifestone,Life Stone,2D5E0000,90.9,125.6,4
lifestone,Life Stone,2DAF000E,45.8,141.4,48
lifestone,Life Stone,2E110000,155.5,10.2,56
lifestone,Life Stone,2E201A4,125.1,-55,12
lifestone,Life Stone,2E301A5,125.1,-55.1,12
lifestone,Life Stone,2E430000,6.6,83.9,8.6
lifestone,Life Stone,2F840000,112.2,141.6,26
lifestone,Life Stone,33110000,64.9,14.6,13.4
lifestone,Life Stone,33D90008,12.2,180,52
lifestone,Life Stone,38680000,68.8,164.9,43.5
lifestone,Life Stone,388C0000,184.7,40.7,82
lifestone,Life Stone,38F7001B,83.6,51.8,-0.1
lifestone,Life Stone,39C0199,89.9,-101.6,-6
lifestone,Life Stone,3C410000,66.9,18.4,12.3
lifestone,Life Stone,3D220000,179.4,158.1,7.9
lifestone,Life Stone,3D5F0000,2.7,161.9,40
lifestone,Life Stone,3EA40000,35.8,38.1,0
