# Portal gems: what a carried gem does when it is used.
# wcid,name,cell,x,y,z,spell
# Cells are hex; the x/y/z are local to the cell's landblock. Using the
# Nearly every gem casts Summon Portal (157): it puts a portal in front
# of you which you then walk into, so using one costs the use and the
# portal. The handful casting something else teleport on use. `spell` is
# what it casts, so the two can be told apart.
# Regenerate with reference/scripts/data/gems.sh (reads the ACE world
# database, the community's reconstruction of retail's server data).
26059,Adams' Beach Portal Gem,3DC7001B,74.9,65.1,0,157
26060,Adept's Domain Portal Gem,51A3001C,73.6,87.9,38.7,157
27772,Adjanite Gem,634B0483,70,-130,0,157
26061,Adventurer's Haven Cottages Portal Gem,AC810024,101.2,91,28,157
26062,Ahr-Zona Portal Gem,9664001B,95.5,69,14.3,157
10974,Ahruenga Portal Gem,FB90009,43,8.6,0,157
26063,Aimaru Plains Cottages Portal Gem,DD5C0012,66.6,45.3,19.6,157
8973,Al-Arqas Portal Gem,8F58003B,183.9,60.2,9.3,157
26064,Al-Arqis Cottages Portal Gem,7C700003,18,53.7,10,157
26066,Al-Hatar Settlement Portal Gem,96540003,22,54.4,10,157
26067,Al-Kasan Settlement Portal Gem,8B550030,127.7,175.3,15.8,157
26068,Al-Mar Oasis Portal Gem,94440025,113.6,110.6,14.5,157
26069,Al-Nosaj Portal Gem,9170001B,76.4,55.7,13.4,157
26065,Alfreth Ridge Cottages Portal Gem,8C98001C,80.5,91.7,124,157
26070,Aloria Portal Gem,5EBE001B,78.8,65.9,22,157
26071,Alvador Portal Gem,B2D40016,64.9,121.6,62.4,157
26072,Amarand Villas Portal Gem,73AF001F,87.9,160.4,110,157
26073,Anadil Portal Gem,7AD6001B,88.8,61.3,203.7,157
30805,Ancient Temple,594D03E2,60,-50,0,157
30812,Antiquated Compass,D070014,63.7,84.1,52.3,157
26074,Aqalah Portal Gem,7C760005,18.4,115.4,10.9,157
26075,Ardent Realm Portal Gem,A84D002D,129.3,110.8,28,157
26076,Ariake Portal Gem,DF6A0035,148.9,110,2,157
26077,Arida Butte Portal Gem,AD62003E,183.1,127.4,53.5,157
26078,Arqasanti Portal Gem,9260001D,93.5,114.2,13.3,157
26079,Arrak Portal Gem,8573000C,45.1,93,14,157
26080,Arrowdale Cottages Portal Gem,D9D00024,100.1,86.6,35.1,157
26081,Artifice Cottages Portal Gem,8F15001D,78.6,106.8,297.6,157
26082,Asandra Cottages Portal Gem,5DC60025,103.3,115.6,60,157
26083,Asbel Domain Portal Gem,B17E0013,56.1,56.6,25.3,157
26084,Auralla Settlement Portal Gem,46C0001B,83.2,66.8,8,157
26085,Auroch Pasture Estates Portal Gem,A09C0025,115.8,99.8,66.7,157
26086,Avatania Cottages Portal Gem,9938000B,40.5,65.1,40,157
26087,Axefall Glen Portal Gem,4CA50025,109.5,112.1,45.4,157
26088,Ayn Tayan Portal Gem,C44E002E,126.5,125.9,29.4,157
26089,Azaroth Cottages Portal Gem,58E80025,99,104.8,6.5,157
26090,Bandit Road Villas Portal Gem,B6D80003,6.2,69.2,19.5,157
26091,Baron's Domain Portal Gem,AED0001D,94.1,101.3,46.2,157
26092,Bay of Sands Portal Gem,79810005,15.8,111.5,0.7,157
26093,Beach Pass Villas Portal Gem,D6BA001E,93.2,124.4,42,157
27769,Beholding Adjanite Gem,634B0478,60,-130,0,157
26094,Bellig Mesa Cottages Portal Gem,9791002F,124.8,147.4,56.4,157
26095,Bhah Dhah Villas Portal Gem,A04B0040,188.3,183.2,112,157
30800,Black Glass Array,2D2F0034,147.5,78.6,47.1,157
26096,Blackmire Edge Cottages Portal Gem,B95C003E,185.7,121.4,10.5,157
26097,Blazing Wand Villas Portal Gem,7AA2002B,134.1,67.3,69.9,157
