# How ammunition is made: use `source` (a bundle of heads) on `target`
# (a bundle of shafts) and `amount` of `result` come out, if Fletching
# is up to `difficulty`.
# source_wcid,target_wcid,result_wcid,amount,difficulty,element,ammo_type,source_name,target_name,result_name
# element is the result's damage type (2 pierce, 4 bludgeon, 8 cold,
# 16 fire, 32 acid, 64 electric); ammo_type is what it fits (1 a bow,
# 2 a crossbow, 4 an atlatl). Names are there to read by; the client
# matches on the ids.
# Regenerate with reference/scripts/data/fletching.sh (reads the ACE
# world database, the community's reconstruction of retail's server
# data; the client has no copy of its own).
4586,4585,300,100,5,2,1,Bundle of Arrowheads,Bundle of Arrowshafts,Arrow
4586,5339,305,100,5,2,2,Bundle of Arrowheads,Bundle of Quarrelshafts,Quarrel
4586,15296,12464,100,5,2,4,Bundle of Arrowheads,Bundle of Atlatl Dart Shafts,Atlatl Dart
5340,4585,4181,100,60,32,1,Bundle of Acid Arrowheads,Bundle of Arrowshafts,Acid Arrow
5340,5339,4185,100,60,32,2,Bundle of Acid Arrowheads,Bundle of Quarrelshafts,Acid Quarrel
5340,15296,15279,100,60,32,4,Bundle of Acid Arrowheads,Bundle of Atlatl Dart Shafts,Acid Atlatl Dart
5341,4585,1437,100,60,16,1,Bundle of Fire Arrowheads,Bundle of Arrowshafts,Fire Arrow
5341,5339,4188,100,60,16,2,Bundle of Fire Arrowheads,Bundle of Quarrelshafts,Fire Quarrel
5341,15296,15284,100,60,16,4,Bundle of Fire Arrowheads,Bundle of Atlatl Dart Shafts,Fire Atlatl Dart
5342,4585,4182,100,60,8,1,Bundle of Frost Arrowheads,Bundle of Arrowshafts,Frost Arrow
5342,5339,4186,100,60,8,2,Bundle of Frost Arrowheads,Bundle of Quarrelshafts,Frost Quarrel
5342,15296,15286,100,60,8,4,Bundle of Frost Arrowheads,Bundle of Atlatl Dart Shafts,Frost Atlatl Dart
5343,4585,4183,100,60,64,1,Bundle of Lightning Arrowheads,Bundle of Arrowshafts,Lightning Arrow
5343,5339,4187,100,60,64,2,Bundle of Lightning Arrowheads,Bundle of Quarrelshafts,Lightning Quarrel
5343,15296,15283,100,60,64,4,Bundle of Lightning Arrowheads,Bundle of Atlatl Dart Shafts,Lightning Atlatl Dart
5344,4585,3599,100,10,4,1,Bundle of Blunt Arrowheads,Bundle of Arrowshafts,Blunt Arrow
5344,5339,3603,100,10,4,2,Bundle of Blunt Arrowheads,Bundle of Quarrelshafts,Blunt Quarrel
5344,15296,15281,100,10,4,4,Bundle of Blunt Arrowheads,Bundle of Atlatl Dart Shafts,Blunt Atlatl Dart
5345,4585,3600,100,10,1,1,Bundle of Broad Arrowheads,Bundle of Arrowshafts,Broadhead Arrow
5345,5339,3604,100,10,1,2,Bundle of Broad Arrowheads,Bundle of Quarrelshafts,Broadhead Quarrel
5345,15296,15282,100,10,1,4,Bundle of Broad Arrowheads,Bundle of Atlatl Dart Shafts,Broadhead Atlatl Dart
5346,4585,3601,100,20,1,1,Bundle of Frog Crotch Arrowheads,Bundle of Arrowshafts,Frog Crotch Arrow
5346,5339,3605,100,20,1,2,Bundle of Frog Crotch Arrowheads,Bundle of Quarrelshafts,Frog Crotch Quarrel
5346,15296,15285,100,20,1,4,Bundle of Frog Crotch Arrowheads,Bundle of Atlatl Dart Shafts,Frog Crotch Atlatl Dart
5347,4585,3598,100,20,2,1,Bundle of Armor Piercing Arrowheads,Bundle of Arrowshafts,Armor Piercing Arrow
5347,5339,3602,100,20,2,2,Bundle of Armor Piercing Arrowheads,Bundle of Quarrelshafts,Armor Piercing Quarrel
5347,15296,15280,100,20,2,4,Bundle of Armor Piercing Arrowheads,Bundle of Atlatl Dart Shafts,Armor Piercing Atlatl Dart
5348,4585,5304,100,120,2,1,Bundle of Greater Arrowheads,Bundle of Arrowshafts,Greater Arrow
5348,5339,5313,100,120,2,2,Bundle of Greater Arrowheads,Bundle of Quarrelshafts,Greater Quarrel
5348,15296,15287,100,120,2,4,Bundle of Greater Arrowheads,Bundle of Atlatl Dart Shafts,Greater Atlatl Dart
5349,4585,5306,100,200,32,1,Bundle of Greater Acid Arrowheads,Bundle of Arrowshafts,Greater Acid Arrow
5349,5339,5314,100,200,32,2,Bundle of Greater Acid Arrowheads,Bundle of Quarrelshafts,Greater Acid Quarrel
5349,15296,15288,100,200,32,4,Bundle of Greater Acid Arrowheads,Bundle of Atlatl Dart Shafts,Greater Acid Atlatl Dart
5350,4585,5305,100,200,16,1,Bundle of Greater Fire Arrowheads,Bundle of Arrowshafts,Greater Fire Arrow
5350,5339,5317,100,200,16,2,Bundle of Greater Fire Arrowheads,Bundle of Quarrelshafts,Greater Fire Quarrel
5350,15296,15293,100,200,16,4,Bundle of Greater Fire Arrowheads,Bundle of Atlatl Dart Shafts,Greater Fire Atlatl Dart
5351,4585,5307,100,200,8,1,Bundle of Greater Frost Arrowheads,Bundle of Arrowshafts,Greater Frost Arrow
5351,5339,5315,100,200,8,2,Bundle of Greater Frost Arrowheads,Bundle of Quarrelshafts,Greater Frost Quarrel
5351,15296,15295,100,200,8,4,Bundle of Greater Frost Arrowheads,Bundle of Atlatl Dart Shafts,Greater Frost Atlatl Dart
5352,4585,5308,100,200,64,1,Bundle of Greater Lightning Arrowheads,Bundle of Arrowshafts,Greater Lightning Arrow
5352,5339,5316,100,200,64,2,Bundle of Greater Lightning Arrowheads,Bundle of Quarrelshafts,Greater Lightning Quarrel
5352,15296,15292,100,200,64,4,Bundle of Greater Lightning Arrowheads,Bundle of Atlatl Dart Shafts,Greater Lightning Atlatl Dart
5353,4585,5310,100,140,4,1,Bundle of Greater Blunt Arrowheads,Bundle of Arrowshafts,Greater Blunt Arrow
5353,5339,5319,100,140,4,2,Bundle of Greater Blunt Arrowheads,Bundle of Quarrelshafts,Greater Blunt Quarrel
5353,15296,15290,100,140,4,4,Bundle of Greater Blunt Arrowheads,Bundle of Atlatl Dart Shafts,Greater Blunt Atlatl Dart
