# Hunting grounds of Dereth: the outdoor landblocks where monsters spawn.
# landblock,x,y,count,min_level,max_level,level,name
# The landblock is hex; x/y are the average spawn point, local to it.
# count is the number of spawn entries, min/max the level range among
# them, and level/name the creature that spawns most often there.
# Regenerate with reference/scripts/data/hunting.sh (reads the ACE
# world database, the community's reconstruction of retail's server
# data; the client has no copy of its own).
1033,125,91,3,100,100,100,Virindi Executor
1038,156,117,15,80,115,80,Pandemonium Shadow
112E,165,52,11,115,115,115,Viamontian Knight
1156,37,70,4,115,135,135,Falatacot Patrician
1193,156,36,7,60,90,90,Olthoi Noble
1292,84,100,21,60,90,90,Olthoi Noble
1293,84,84,28,60,90,90,Olthoi Noble
1294,108,68,21,60,90,90,Olthoi Noble
1295,156,36,7,60,90,90,Olthoi Noble
133A,46,133,4,115,135,115,Nightmare Wisp
1343,108,180,4,115,135,135,Drudge Bloodletter
137D,147,115,15,15,60,15,Drudge Servant
1392,157,131,7,60,90,90,Olthoi Noble
1393,84,84,28,60,90,90,Olthoi Noble
1394,84,84,28,60,90,90,Olthoi Noble
1395,84,84,28,60,90,90,Olthoi Noble
1396,107,36,14,60,90,90,Olthoi Noble
13B2,62,60,6,20,20,20,Blighted Pallid Moarsman
1444,169,13,4,115,115,115,Plasma Golem
1454,160,97,6,100,100,100,Magma Golem
1455,144,27,8,20,100,100,Magma Golem
1492,35,133,7,60,90,90,Olthoi Noble
1493,69,100,21,60,90,90,Olthoi Noble
1494,84,84,28,60,90,90,Olthoi Noble
1495,84,84,28,60,90,90,Olthoi Noble
1496,107,36,14,60,90,90,Olthoi Noble
14B5,134,169,13,8,80,50,Hea Windreave
152D,107,79,34,135,135,135,Apostate Virindi Aggressor
1554,68,108,34,100,100,100,Diamond Golem
1555,20,68,3,100,100,100,Magma Golem
1568,177,34,5,100,135,100,Dark Master
1594,60,132,14,60,90,90,Olthoi Noble
1595,36,83,14,60,90,90,Olthoi Noble
1643,167,105,15,100,100,100,Augmented Tumerok
1746,80,170,14,115,135,115,Tumerok Trooper
1747,83,38,16,115,135,115,Tumerok Trooper
1830,70,149,20,115,135,115,Viamontian Knight
1831,60,17,2,115,115,115,Viamontian Knight
1832,12,12,4,115,115,115,Viamontian Knight
183F,180,128,6,100,100,100,Tumerok High Priest
18B5,59,128,11,80,100,100,Hea Shaman
1936,102,34,2,135,135,135,Virindi Desecrator
193F,28,149,27,80,100,100,Tumerok High Priest
19B0,187,47,2,20,20,20,Olthoi Harvester
1A13,160,98,52,160,160,160,Withered Banderling Hierophant
1A1E,91,69,78,1,160,160,Withered Banderling Paragon
1A52,36,52,5,115,115,115,Shadow Phantom
1A8E,29,101,8,100,115,100,Shadow Seeker
1ABC,131,82,7,60,60,60,Olthoi Legionary
1B12,158,147,24,160,160,160,Withered Drudge Seraph
1B13,77,108,40,160,160,160,Withered Banderling Paragon
1B14,143,62,15,160,160,160,Withered Drudge Seraph Mystic
1B7F,62,98,28,80,115,80,Tumerok Taskmaster
1B81,143,88,15,100,115,100,Ascendant Tumerok
1BBB,106,175,9,20,100,20,Olthoi Harvester
1BBC,108,55,12,60,100,80,Hea Nualuan
1C12,72,114,30,160,160,160,Withered Drudge Seraph
1C13,98,107,55,160,160,160,Withered Revered Tumerok Shaman
1C14,102,112,18,160,160,160,Withered Transcendent Tumerok
1C15,133,19,8,160,160,160,Withered Raider Justicar
1C1A,58,113,21,1,160,160,Withered Raider Justicar
1D12,51,123,22,160,160,160,Withered Raider Justicar
1D13,111,89,45,160,160,160,Withered Raider Justicar
1D14,91,104,22,160,160,160,Withered Banderling Paragon
1DB1,127,167,8,30,80,30,Tumerok Warrior
1E09,106,63,6,160,160,160,Fire Golem
1E13,29,133,10,160,160,160,Withered Drudge Seraph
1E29,79,127,8,115,135,115,Abyssal Shadow
1F09,6,78,7,160,160,160,Fire Golem
1F29,41,185,4,115,115,115,Bane Grievver
1F2A,120,85,16,115,160,135,Shadow Wraith
1FBC,137,21,8,60,60,60,Olthoi Legionary
2018,173,57,6,80,100,80,Ulu Sclavus
20BF,57,108,15,60,60,60,Olthoi Soldier
2111,34,37,17,160,160,160,Withered Revered Tumerok Shaman
2117,109,125,6,80,100,80,Ulu Sclavus
2118,91,74,41,80,115,100,Essa Sclavus Lord
2119,101,15,6,80,100,80,Ulu Sclavus
2171,53,122,13,135,300,135,Invading Iron Blade Phalanx
2172,106,42,14,135,300,135,Invading Iron Blade Phalanx
2176,143,84,7,185,185,185,Gear Hunter
2217,35,182,3,80,100,80,Ulu Sclavus
2218,33,125,9,80,100,80,Ulu Sclavus
2259,118,75,10,50,115,50,Mox
2271,108,84,13,135,300,135,Invading Iron Blade Phalanx
2272,3,50,13,135,300,135,Invading Iron Blade Phalanx
2273,115,22,13,135,300,135,Invading Iron Blade Phalanx
228E,158,114,28,80,100,100,Tumerok Champion
2298,132,108,7,60,90,90,Olthoi Noble
2299,133,61,14,60,90,90,Olthoi Noble
229A,100,60,21,60,90,90,Olthoi Noble
22BF,19,103,1,60,60,60,Olthoi Legionary
230F,64,55,8,135,135,135,Drudge Cabalist
231B,130,162,2,15,15,15,Sandstone Golem
231C,49,181,9,115,135,135,Raider Juggernaut
231D,60,115,1,135,135,135,Banderling Aggressor
2380,166,19,7,80,80,80,Tumerok Major
2381,115,46,13,80,135,100,Tumerok High Priest
238E,39,117,24,80,100,100,Tumerok High Priest
2397,132,107,7,60,90,90,Olthoi Noble
2398,84,84,28,60,90,90,Olthoi Noble
2399,84,84,28,60,90,90,Olthoi Noble
239A,84,85,28,60,90,90,Olthoi Noble
239B,129,10,7,60,90,90,Olthoi Noble
241B,111,68,3,15,15,15,Desert Rat
2480,61,35,5,100,100,100,Insidious Monouga
2482,37,18,1,100,100,100,Pyreal Golem
2497,68,124,21,60,90,90,Olthoi Noble
2498,84,85,28,60,90,90,Olthoi Noble
2499,67,76,21,60,90,90,Olthoi Noble
249A,35,110,14,60,90,90,Olthoi Noble
249B,182,158,7,60,90,90,Olthoi Noble
249C,132,60,7,60,90,90,Olthoi Noble
24BC,169,101,4,8,40,8,Water Wisp
24C0,80,54,28,135,220,135,Tendril of T'thuun
251A,160,162,9,100,115,100,Skeletal Champion
2545,130,130,9,100,115,100,Enku Zefir
254E,35,24,7,30,50,50,Drudge Stalker
2562,101,99,33,8,60,30,Tumerok Warrior
2573,105,145,3,100,100,100,Gold Golem
2574,128,9,2,60,60,60,Granite Golem
2586,160,43,6,100,100,100,Extas Raider
2597,35,157,7,60,90,90,Olthoi Noble
2598,68,109,21,60,90,90,Olthoi Noble
2599,85,36,14,60,90,90,Olthoi Noble
259A,124,132,21,60,90,90,Olthoi Noble
259B,133,124,21,60,90,90,Olthoi Noble
259C,83,59,14,60,90,90,Olthoi Noble
259D,89,83,3,8,8,8,Marsh Siraluun
25BC,13,104,4,8,40,40,Littoral Siraluun
2612,121,49,5,115,115,115,Brass Gromnie
261A,122,135,6,1,135,135,Raider Juggernaut
2686,79,44,6,100,100,100,Extas Raider
2687,98,14,6,100,100,100,Extas Raider
2698,84,84,28,60,90,90,Olthoi Noble
2699,132,12,7,60,90,90,Olthoi Noble
269A,132,156,14,60,90,90,Olthoi Noble
269B,108,108,28,60,90,90,Olthoi Noble
269C,132,59,7,60,90,90,Olthoi Noble
26EC,143,147,8,4,4,4,Chicken
2713,60,129,5,100,115,100,Tumerok Champion
278B,51,38,6,30,30,30,Wild Monouga
2797,84,132,14,60,90,90,Olthoi Noble
2798,84,83,28,60,90,90,Olthoi Noble
2799,100,59,21,60,90,90,Olthoi Noble
279B,36,59,7,60,90,90,Olthoi Noble
279C,37,60,7,60,90,90,Olthoi Noble
2819,54,80,6,115,115,115,Brass Gromnie
287A,55,168,1,8,8,8,Snowman
2918,173,88,21,115,115,115,Small Sandstone Golem
2986,20,144,8,80,100,80,Eater
298C,91,101,22,8,60,30,Tumerok Warrior
2A11,171,96,63,20,135,60,Flamma
2A12,158,71,126,20,135,60,Flamma
2A3F,108,9,5,100,100,100,Tormented Attendant
2AE2,140,131,6,8,8,8,Blue Phyntos Wasp
2AE3,84,119,10,8,8,8,Water Golem
2B11,122,40,63,20,135,60,Flamma
2B12,109,152,126,20,135,60,Flamma
2BE2,16,145,8,8,8,8,Blue Phyntos Wasp
2C11,46,168,63,20,135,60,Flamma
2C12,32,81,126,20,135,60,Flamma
2C15,181,107,13,100,115,100,Ascendant Tumerok
2C2F,97,183,3,240,240,240,Lugian Lackey
2C30,89,97,533,1,500,240,Rynthid Minion
2D11,119,152,7,80,100,80,Wasteland Rat
2D15,69,78,6,100,115,100,Ascendant Tumerok
2D26,53,76,12,115,135,115,Assailer
2D27,73,51,12,115,135,115,Assailer
