# Every property an identify can carry: what to call it, by kind.
# kind,id,name
bool,0,Undef
bool,1,Stuck
bool,2,Open
bool,3,Locked
bool,4,RotProof
bool,5,AllegianceUpdateRequest
bool,6,AiUsesMana
bool,7,AiUseHumanMagicAnimations
bool,8,AllowGive
bool,9,CurrentlyAttacking
bool,10,AttackerAi
bool,11,IgnoreCollisions
bool,12,ReportCollisions
bool,13,Ethereal
bool,14,GravityStatus
bool,15,LightsStatus
bool,16,ScriptedCollision
bool,17,Inelastic
bool,18,Visibility
bool,19,Attackable
bool,20,SafeSpellComponents
bool,21,AdvocateState
bool,22,Inscribable
bool,23,DestroyOnSell
bool,24,UiHidden
bool,25,IgnoreHouseBarriers
bool,26,HiddenAdmin
bool,27,PkWounder
bool,28,PkKiller
bool,29,NoCorpse
bool,30,UnderLifestoneProtection
bool,31,ItemManaUpdatePending
bool,32,GeneratorStatus
bool,33,ResetMessagePending
bool,34,DefaultOpen
bool,35,DefaultLocked
bool,36,DefaultOn
bool,37,OpenForBusiness
bool,38,IsFrozen
bool,39,DealMagicalItems
bool,40,LogoffImDead
bool,41,ReportCollisionsAsEnvironment
bool,42,AllowEdgeSlide
bool,43,AdvocateQuest
bool,44,IsAdmin
bool,45,IsArch
bool,46,IsSentinel
bool,47,IsAdvocate
bool,48,CurrentlyPoweringUp
bool,49,GeneratorEnteredWorld
bool,50,NeverFailCasting
bool,51,VendorService
bool,52,AiImmobile
bool,53,DamagedByCollisions
bool,54,IsDynamic
bool,55,IsHot
bool,56,IsAffecting
bool,57,AffectsAis
bool,58,SpellQueueActive
bool,59,GeneratorDisabled
bool,60,IsAcceptingTells
bool,61,LoggingChannel
bool,62,OpensAnyLock
bool,63,UnlimitedUse
bool,64,GeneratedTreasureItem
bool,65,IgnoreMagicResist
bool,66,IgnoreMagicArmor
bool,67,AiAllowTrade
bool,68,SpellComponentsRequired
bool,69,IsSellable
bool,70,IgnoreShieldsBySkill
bool,71,NoDraw
bool,72,ActivationUntargeted
bool,73,HouseHasGottenPriorityBootPos
bool,74,GeneratorAutomaticDestruction
bool,75,HouseHooksVisible
bool,76,HouseRequiresMonarch
bool,77,HouseHooksEnabled
bool,78,HouseNotifiedHudOfHookCount
bool,79,AiAcceptEverything
bool,80,IgnorePortalRestrictions
bool,81,RequiresBackpackSlot
bool,82,DontTurnOrMoveWhenGiving
bool,83,NpcLooksLikeObject
bool,84,IgnoreCloIcons
bool,85,AppraisalHasAllowedWielder
bool,86,ChestRegenOnClose
bool,87,LogoffInMinigame
bool,88,PortalShowDestination
bool,89,PortalIgnoresPkAttackTimer
bool,90,NpcInteractsSilently
bool,91,Retained
bool,92,IgnoreAuthor
bool,93,Limbo
bool,94,AppraisalHasAllowedActivator
bool,95,ExistedBeforeAllegianceXpChanges
bool,96,IsDeaf
bool,97,IsPsr
bool,98,Invincible
bool,99,Ivoryable
bool,100,Dyable
bool,101,CanGenerateRare
bool,102,CorpseGeneratedRare
bool,103,NonProjectileMagicImmune
bool,104,ActdReceivedItems
bool,105,Unknown105
bool,106,FirstEnterWorldDone
bool,107,RecallsDisabled
bool,108,RareUsesTimer
bool,109,ActdPreorderReceivedItems
bool,110,Afk
bool,111,IsGagged
bool,112,ProcSpellSelfTargeted
bool,113,IsAllegianceGagged
bool,114,EquipmentSetTriggerPiece
bool,115,Uninscribe
bool,116,WieldOnUse
bool,117,ChestClearedWhenClosed
bool,118,NeverAttack
bool,119,SuppressGenerateEffect
bool,120,TreasureCorpse
bool,121,EquipmentSetAddLevel
bool,122,BarberActive
bool,123,TopLayerPriority
bool,124,NoHeldItemShown
bool,125,LoginAtLifestone
bool,126,OlthoiPk
bool,127,Account15Days
bool,128,HadNoVitae
bool,129,NoOlthoiTalk
bool,130,AutowieldLeft
bool,9001,LinkedPortalOneSummon
bool,9002,LinkedPortalTwoSummon
bool,9003,HouseEvicted
bool,9004,UntrainedSkills
bool,9005,IsEnvoy
